Year,Regione,HPI_average
2021,TRENTINO-ALTO ADIGE,2140.8704595625127
2021,UMBRIA,791.3672839506173
2021,VALLE D'AOSTA/VALLE`E D'AOSTE,2263.2528614894236
2021,VENETO,1222.9189849250242
2022,ABRUZZO,748.5402298850574
2022,BASILICATA,663.1410791205151
2022,CALABRIA,648.4738219895288
2022,CAMPANIA,1007.1585753176043
2022,EMILIA-ROMAGNA,1332.055790986938
2022,FRIULI-VENEZIA GIULIA,977.3916187417215
2022,LAZIO,1323.8980522310503
2022,LIGURIA,2099.4929267486023
2022,LOMBARDIA,1346.2555506216697
2022,MARCHE,1082.6257902492955
2022,MOLISE,685.0869565217391
2022,PIEMONTE,946.6973876122571
2022,PUGLIA,976.7994974175786
2022,SARDEGNA,1048.7265300223667
2022,SICILIA,791.4992781386707
2022,TOSCANA,1510.2418730650154
2022,TRENTINO-ALTO ADIGE,2181.9611679711015
2022,UMBRIA,753.5317678487097
2022,VALLE D'AOSTA/VALLE`E D'AOSTE,2291.9843289737246
2022,VENETO,1224.9532988871224
2023,ABRUZZO,753.721264367816
2023,BASILICATA,664.4731610337972
2023,CALABRIA,649.2774869109948
2023,CAMPANIA,1013.1272686025409
2023,EMILIA-ROMAGNA,1340.702065351418
2023,FRIULI-VENEZIA GIULIA,980.3267254038178
2023,LAZIO,1315.6671779141107
2023,LIGURIA,2098.971078976641
2023,LOMBARDIA,1371.530986228343
2023,MARCHE,1091.5455870108244
2023,MOLISE,673.8318777292576
2023,PIEMONTE,957.8541074366912
2023,PUGLIA,983.9050982800983
2023,SARDEGNA,1065.413223140496
2023,SICILIA,793.3082784184514
2023,TOSCANA,1512.5803018575853
2023,TRENTINO-ALTO ADIGE,2247.802528597231
2023,UMBRIA,715.4155124653739
2023,VALLE D'AOSTA/VALLE`E D'AOSTE,2340.2583162451583
2023,VENETO,1234.8381657053255
2024,ABRUZZO,762.0112715599721
2024,BASILICATA,674.3861829025846
2024,CALABRIA,639.5609907057917
2024,CAMPANIA,1025.8662894501144
2024,EMILIA-ROMAGNA,1366.145426393697
2024,FRIULI-VENEZIA GIULIA,907.6270781105687
2024,LAZIO,1303.6074264448498
2024,LIGURIA,2122.063164251208
2024,LOMBARDIA,1403.8569522170405
2024,MARCHE,1114.275811648703
2024,MOLISE,668.7192834458118
2024,PIEMONTE,972.8679017362078
2024,PUGLIA,1000.5703168941121
2024,SARDEGNA,1088.3633996600415
2024,SICILIA,789.3473266683961
2024,TOSCANA,1521.7976358454162
2024,TRENTINO-ALTO ADIGE,2293.831449577077
2024,UMBRIA,717.1770551124775
2024,VALLE D'AOSTA/VALLE`E D'AOSTE,2342.631067961165
2024,VENETO,1242.2613814184995
