territory_code,territory_name,year,population,area_km2,gdp,tourism_nights,density,log_density,log_gdp,log_tourism_nights
ITF2,Molise,2012,313916,4460.4373,6901.4,2301092.0,70.37785286209494,4.253878623643113,8.839479568554948,14.648894350834473
ITF2,Molise,2013,313408,4460.4373,6427.9,2079671.0,70.26396268365885,4.252259045527047,8.768403169797999,14.547720266089897
ITF2,Molise,2014,312897,4460.4373,6362.9,2045602.0,70.14939992542884,4.25062725234836,8.758239527251996,14.531202680666889
ITF2,Molise,2015,311398,4460.4373,6488.2,2194152.0,69.81333422173651,4.245825026218888,8.7777404214607,14.601306197271722
ITF2,Molise,2016,310026,4460.4373,6555.5,711406.0,69.50574106265321,4.241409354377155,8.788059670939457,13.474998572534583
ITF2,Molise,2017,308400,4460.4373,6677.4,773990.0,69.14120281435186,4.236150831136369,8.806483969207434,13.559314232591761
ITF2,Molise,2018,306564,4460.4373,6776.7,780090.0,68.72958398047653,4.230179732161266,8.821245536781339,13.567164576624867
ITF2,Molise,2019,303790,4460.4373,6857.7,794075.0,68.10767186437079,4.221089862674747,8.833127387534113,13.584933194206643
ITF2,Molise,2020,300516,4460.4373,6237.0,429786.0,67.37366311594606,4.21025418659736,8.738254576526122,12.971042689370124
ITF2,Molise,2021,294294,4460.563,6703.0,607559.0,65.97687332294151,4.189304276422674,8.810310466357958,13.317204568822627
ITF2,Molise,2022,292150,4460.563,6924.5,764150.0,65.49621650899225,4.181992377751355,8.842821126282772,13.546519383955982
ITF2,Molise,2023,290636,4460.563,7006.4,838714.0,65.15679747152994,4.176796633838622,8.854579296047135,13.639625045333483
ITF2,Molise,2024,289224,4460.563,,860689.0,64.84024550264171,4.171926483144109,,13.665488510260788
ITF3,Campania,2010,5807464,13670.5546,115718.7,15696827.0,424.81553747643864,6.051655045239161,11.658917525013834,16.568969147982365
ITF3,Campania,2011,5822827,13670.598,114190.1,15468971.0,425.9379874969625,6.054293766417182,11.645619882428736,16.554346704499867
ITF3,Campania,2012,5827593,13670.598,111334.2,14426844.0,426.2866189174753,6.055111934391531,11.620291767691567,16.4846011958106
ITF3,Campania,2013,5820430,13670.598,108119.3,13732067.0,425.762647691052,6.05388202595077,11.590990526081598,16.435244312662295
ITF3,Campania,2014,5812768,13670.598,108137.6,13615316.0,425.2021747695309,6.052564761152575,11.591159769236786,16.426705893515845
ITF3,Campania,2015,5804370,13670.598,110075.3,14594612.0,424.5878636764829,6.051118965903714,11.60891995603473,16.496162977470252
ITF3,Campania,2016,5790783,13670.598,110406.9,15771173.0,423.59397884423197,6.048775399377484,11.611927910872089,16.573694337910513
ITF3,Campania,2017,5776654,13670.598,111570.7,16540350.0,422.56044688023155,6.046332506102767,11.62241374965556,16.62131340815818
ITF3,Campania,2018,5762889,13670.598,111959.0,17227171.0,421.55354140323635,6.04394679524251,11.625888011828158,16.66199840465776
