Region;Year;territory_code;population;log_population;area_km2;density;log_density;gdp;log_gdp;gdp_per_capita;log_gdp_per_capita;tourism_arrivals;log_tourism_arrivals;tourism_nightspent;log_tourism_nightspent;HPI_average;log_HPI_average;Observation_Disp_Income;log_Observation_Disp_Income;Observation_Average_Monthly_Exp;log_Observation_Average_Monthly_Exp;Observation_CPI_housing;log_Observation_CPI_housing;Observation_Income_Percentage
Calabria;2012;ITF6;1968536.0;14.492800677235282;15221.6148;129.3250437529138;4.862328954207046;35562.3;10.479041366951291;18065.35415151158;9.801751247680283;1128053;13.936003695751944;3400617.0;15.03946744371083;666.0135698835215;6.5013100455333;23889.3;10.081185938927828;213.0;5.3612921657094255;;;10.6
Calabria;2013;ITF6;1962430.0;14.489694059212745;15221.6148;128.92390365836877;4.8592223361845095;34382.0;10.445288450601439;17520.115367172333;9.771104949352967;1071049;13.884149100017298;3238679.0;14.990676088580342;658.768971332209;6.4903728984271645;23722.2;10.074166597546009;196.0;5.278114659230517;;;9.4
Calabria;2014;ITF6;1958226.0;14.487549519313708;15221.6148;128.64771745504953;4.857077796285472;34017.0;10.434615678639949;17371.335075726704;9.762576717290516;1103900;13.914359922006444;3258024.0;14.9966314345995;684.7500362050655;6.529053861016593;23613.3;10.069565391595818;207.0;5.332718793265369;;;10.6
Calabria;2015;ITF6;1951733.0;14.48422825381267;15221.6148;128.22115298831503;4.853756530784436;34633.1;10.45256515114916;17744.793985652752;9.783847455300764;1198647;13.996703978651919;3475860.0;15.061352488376796;682.1105072463768;6.525191678802954;23893.7;10.081370104845098;228.0;5.429345628954441;;;12.0
Calabria;2016;ITF6;1943085.0;14.47978747418604;15221.6148;127.65301352915591;4.849315751157803;34368.2;10.444886997218457;17687.44033328444;9.780610080996691;1226263;14.01948189123263;3485056.0;15.06399467091423;674.9063371807965;6.514573921512354;24124.6;10.090987345758851;242.0;5.488937726156687;98.1;4.585987366571318;11.9
Calabria;2017;ITF6;1935097.0;14.47566801238856;15221.6148;127.12823346442848;4.845196289360324;34517.7;10.449227514935902;17837.710461025985;9.789070060511618;1331211;14.101599612236095;3792625.0;15.14856894945072;672.4517145109903;6.5109303089145945;24789.6;10.118179489360534;213.0;5.3612921657094255;100.2;4.607168188650764;11.0
Calabria;2018;ITF6;1924257.0;14.4700504771709;15221.6149;126.41608742841076;4.83957874757306;34143.4;10.438324581313527;17743.679768346952;9.783784662106902;1415817;14.163217307595808;4020981.0;15.207036460675509;664.8452139585278;6.499554252598196;25169.3;10.133380276856656;222.0;5.402677381872279;102.1;4.625952725170619;10.4
Calabria;2019;ITF6;1912021.0;14.463671355796766;15221.6149;125.61223053934968;4.833199626198925;34070.3;10.43618131601689;17818.998849908032;9.788020518184398;1443898;14.182856958820876;4104264.0;15.227536991249199;662.050983436853;6.495342567226627;25443.5;10.144215586607341;234.0;5.455321115357702;103.0;4.634728988229636;10.7
Calabria;2020;ITF6;1894110.0;14.45425962918319;15221.6149;124.43554855667776;4.823787899585349;31143.4;10.346357623756651;16442.234083553754;9.707608552537735;650637;13.38570716198532;2126968.0;14.570208049405357;646.3397224378882;6.471325251679715;25113.3;10.131152865260875;251.0;5.5254529391317835;99.8;4.603168183317418;11.2
Calabria;2021;ITF6;1860601.0;14.436410111777485;15219.2985;122.25274377790802;4.806090572094186;33616.7;10.422778246285397;18067.656633528622;9.801878692472187;971312;13.786403013890446;2900725.0;14.88047126371191;646.7937631027254;6.472027484958139;25983.4;10.165213151561796;255.0;5.541263545158426;107.3;4.675628649636653;10.4
Calabria;2022;ITF6;1855454.0;14.433639968014072;15219.2985;121.9145547345694;4.803320428330773;34862.8;10.459175637133571;18789.3636813416;9.841046227083773;1297673;14.076083218467415;3758833.0;15.139619094850188;648.4738219895288;6.4746216359248105;27518.2;10.222602882931406;256.0;5.545177444479562;144.8;4.975353479951616;11.5
