Region,Year,territory_code,population,area_km2,density,log_density,gdp,gdp_per_capita,log_gdp,log_gdp_per_capita,tourism_arrivals,tourism_nightspent,log_tourism_nightspent,Observation_Average_Monthly_Exp,Observation_CPI_housing,Observation_Disp_Income,Observation_Income_Percentage,HPI_average
Molise,2014,ITF2,312897.0,4460.4373,70.14939992542884,4.25062725234836,6362.9,20335.44584959268,8.758239527251996,9.92012074333297,737708,2045602.0,14.531202680666889,211.0,,4311.0,11.7,726.1128699013595
Molise,2015,ITF2,311398.0,4460.4373,69.81333422173651,4.245825026218888,6488.2,20835.71506560736,8.7777404214607,9.944423863671144,820340,2194152.0,14.601306197271722,218.0,,4372.1,10.9,718.4576612903226
Molise,2016,ITF2,310026.0,4460.4373,69.50574106265321,4.241409354377155,6555.5,21145.000741873264,8.788059670939457,9.959158784991631,219613,711406.0,13.474998572534584,247.0,,4364.9,12.4,716.4012096774193
Molise,2017,ITF2,308400.0,4460.4373,69.14120281435186,4.236150831136369,6677.4,21651.75097276265,8.806483969207434,9.982841606500395,237925,773990.0,13.55931423259176,215.0,,4388.1,10.4,714.9395161290322
Molise,2018,ITF2,306564.0,4460.4373,68.72958398047653,4.230179732161266,6776.7,22105.335264414607,8.821245536781339,10.003574273049404,251630,780090.0,13.567164576624869,240.0,,4448.0,10.5,712.4506170824083
Molise,2019,ITF2,303790.0,4460.4373,68.10767186437079,4.221089862674747,6857.7,22573.817439678725,8.833127387534113,10.024545993288696,259643,794075.0,13.584933194206643,221.0,,4479.5,10.9,700.8571428571429
Molise,2020,ITF2,300516.0,4460.4373,67.37366311594606,4.21025418659736,6237.0,20754.30259952881,8.738254576526122,9.940508858358095,121311,429786.0,12.971042689370124,231.0,,4444.3,10.3,690.7551020408164
Molise,2021,ITF2,294294.0,4460.563,65.97687332294151,4.189304276422674,6703.0,22776.54318470645,8.810310466357958,10.03348647766833,177785,607559.0,13.317204568822628,249.0,,4641.4,10.9,690.894925981549
Molise,2022,ITF2,292150.0,4460.563,65.49621650899225,4.181992377751355,6924.5,23701.865480061613,8.842821126282772,10.073309036264464,236581,764150.0,13.546519383955982,256.0,,4943.5,11.3,685.0869565217391
Molise,2023,ITF2,290636.0,4460.563,65.15679747152994,4.176796633838622,7006.4,24107.13056882148,8.854579296047135,10.090262949941556,257141,838714.0,13.639625045333483,260.0,156.2,5163.9,10.4,673.8318777292576
