FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,Year,Observation_Average_Monthly_Exp,OBS_STATUS,Observation status
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,257,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,260,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,258,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,243,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,233,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,242,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,251,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,257,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,248,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,270,,
A,Annual,ITF4,Puglia,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,262,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,224,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,235,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,209,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,237,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,242,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,250,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,233,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,243,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,259,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,240,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,252,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,268,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,273,,
A,Annual,ITF5,Basilicata,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,246,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,226,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,213,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,196,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,207,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,228,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,242,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,213,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,222,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,234,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,251,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,255,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,256,,
A,Annual,ITF6,Calabria,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,228,,
