FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),E_COICOP_REV_ISTAT,ECOICOP Rev. Istat,TIME_PERIOD,Observation,OBS_STATUS,Year,Observation_CPI_housing
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,104.9
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,101.3
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.4
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,152.2
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,156.8
A,Annual,ITF4,Puglia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,147.6
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,100.6
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,102.3
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,104
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,104.9
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,100.2
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.1
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,145.3
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,137.7
A,Annual,ITF5,Basilicata,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,133.3
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.1
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,100.2
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,102.1
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,103
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,99.8
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,107.3
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,144.8
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,147.4
A,Annual,ITF6,Calabria,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,137.4
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.7
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,100.5
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,103.1
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,105.7
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,102.1
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.3
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2022,153.6
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2023,159
A,Annual,ITG1,Sicilia,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2024,150
A,Annual,ITG2,Sardegna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2016,98.7
A,Annual,ITG2,Sardegna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2017,103.3
A,Annual,ITG2,Sardegna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2018,105.4
A,Annual,ITG2,Sardegna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2019,105.8
A,Annual,ITG2,Sardegna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2020,102.9
A,Annual,ITG2,Sardegna,40,Consumer price index for the whole nation (base 2015=100) - annual average,4,Index number,4,'-- housing, water, electricity, gas and other fuels',2021,109.6
