STRUCTURE,STRUCTURE_ID,freq: Time frequency,unit: Unit of measure,sex: Sex,age: Age class,geo: Geopolitical entity (reporting),TIME_PERIOD: Time,OBS_VALUE: Observation value,OBS_FLAG: Observation status (Flag) V2 structure,CONF_STATUS: Confidentiality status (flag)
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2011,9746113,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2012,9811011,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2013,9877541,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2014,9929769,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2015,9954769,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2016,9958447,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2017,9970419,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2018,9986962,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2019,10010833,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2020,10027602,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2021,9981554,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2022,9943004,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2023,9976509,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITC4: Lombardia,2024,10012054,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF: Sud,2010,14095771,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF: Sud,2011,14121260,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF: Sud,2012,14123826,,
dataflow,ESTAT:DEMO_R_D2JAN(1.0),A: Annual,NR: Number,T: Total,TOTAL: Total,ITF: Sud,2013,14096931,,
