FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,332,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,320,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,333,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,306,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,308,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,309,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,290,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,316,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,325,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,327,,
A,Annual,ITE,Centro (I),ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,321,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,12,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,12.8,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,12.3,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,12.2,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,12.5,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,12.6,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,12.6,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,11.8,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11.5,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,11.9,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,11.3,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,11.9,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,11.9,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,11.2,,
A,Annual,ITF,Sud,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,10.3,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,259,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,269,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,261,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,251,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,256,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,256,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,264,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,252,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,250,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,262,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,258,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,270,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,272,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2023,275,,
A,Annual,ITF,Sud,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2024,263,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2010,11.6,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2011,12,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2012,11.9,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2013,12.1,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2014,12.2,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2015,12.3,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2016,13.3,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2017,12.3,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2018,11.9,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2019,13.1,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2020,12,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2021,11.5,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2022,11.8,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2023,10.8,,
A,Annual,ITG,Isole,ABITAZ_SPESA_REDD,Housing average monthly expenditures (percentage of average monthly income),2024,9.4,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2010,237,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2011,226,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2012,229,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2013,230,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2014,233,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2015,232,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2016,256,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2017,237,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2018,240,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2019,271,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2020,258,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2021,257,,
A,Annual,ITG,Isole,ABITAZ_SPESA_M,Housing average monthly expenditures (in euros),2022,260,,
